"ID","Q01","Q02","Q03","Q04","Q05","numVar"
2920,"Sì","Mer","Sì","online","Sì",1.25811246241523
9797,"Non a tutti","Mer","Sì","online","Sì",1.46647133701306
9830,"Non a tutti","Ven","No","online","Sì",-0.396008827373074
10226,"Non a tutti","Ven","Sì","presenza","Sì",-1.43889861024643
10768,"Non a tutti","Mer","Sì","presenza","Sì",0.400973344203145
11209,"Sì","Ven","No","online","Sì",0.3962659793144
13400,"Non a tutti","Ven","No","online","Sì",1.4390491817993
13420,"Sì","Ven","No","uguale","Sì",0.125147987698315
14040,"Sì","Mer","Sì","online","Sì",-0.376007410925342
16472,"Non a tutti","Ven","Sì","presenza","Sì",0.738744368803059
16536,"Sì","Ven","No","presenza","Sì",-0.125317331256845
16595,"Non a tutti","Ven","Sì","online","Sì",1.48631432668446
16856,"Sì","Mer","No","online","Sì",1.75897648402911
16899,"Sì","Mer","Sì","presenza","Sì",2.06572208736066
16920,"Non a tutti","Mer","Sì","uguale","Sì",0.0305855998148226
17038,"Sì","Ven","No","presenza","Sì",-0.680135061596995
17176,"Non a tutti","Mer","Sì","online","Sì",-1.14780023195765
17344,"Non a tutti","Mer","Sì","presenza","Sì",-0.0231601323073064
17510,"Sì","Ven","No","presenza","Sì",0.490941118931615
17636,"Non a tutti","Mer","No","online","Sì",-0.880028891245574
17881,"Sì","Ven","No","online","Sì",-1.97055505411205
18673,"Sì","Ven","Sì","online","Sì",0.27574257968955
20272,"Sì","Ven","No","online","Sì",1.78445476142989
20526,"Sì","Ven","Sì","presenza","Sì",-1.27056514936357
20653,"Sì","Ven","Sì","online","Sì",-0.253104908064597
20692,"Sì","Ven","No","online","Sì",0.510700814023522
20795,"Non a tutti","Mer","No","online","Sì",NA
22581,"Non a tutti","Ven","No","online","Sì",1.61418096449326
29929,"Sì","Mer","No","online","Sì",-0.574821993108073
30471,"Sì","Ven","Sì","presenza","Sì",-0.526570008477629
34132,"Sì","Mer","Sì","presenza","Sì",-0.637358035901535
34580,"Sì","Mer","Sì","uguale","Sì",-0.614730644158591
34629,"Sì","Mer","Sì","presenza","Sì",0.358350284455206
34677,"Sì","Mer","Sì","online","Sì",0.444771308678124
34786,"Sì","Mer","Sì","uguale","Sì",-0.0541912618607003
35179,"Sì","Mer","No","uguale","Sì",-0.35203851171235
35207,"Non a tutti","Mer","No","presenza","No",-0.78037095721549
35443,"Non a tutti","Mer","No","presenza","Sì",1.01322046587458
35527,"Non a tutti","Ven","Sì","online","Sì",-0.146296198530647
35539,"Non a tutti","Ven","No","uguale","Sì",-1.38517254305504
35583,"Sì","Mer","Sì","presenza","Sì",0.693531147811674
35613,"Non a tutti","Ven","No","online","Sì",-0.662762280666976
35615,"Sì","Mer","Sì","presenza","Sì",-1.14541981068292
35617,"Non a tutti","Mer","No","presenza","Sì",-0.972771272168843
35618,"Sì","Mer","Sì","uguale","Sì",1.19486683802644
35620,"Non a tutti","Ven","No","online","Sì",1.11631177992007
35633,"Non a tutti","Ven","No","presenza","No",0.352041316205942
35650,"Non a tutti","Ven","No","uguale","Sì",1.19672275213186
35660,"Non a tutti","Mer","Sì","presenza","Sì",-0.50484731391983
35691,"Sì","Ven","No","online","Sì",0.710877717854814
35936,"Non a tutti","Mer","No","uguale","Sì",0.542646198891617
36264,"Sì","Ven","Sì","presenza","Sì",-0.382648865839328
36279,"Sì","Mer","No","presenza","Sì",0.325588006281299
