County	Districtg	School	type	composite score	students
Waukesha	Kettle Moraine	Kettle Moraine Global School for Global Leadership and Innovation	Public school	27.09	11
Ozaukee	Mequon-Thiensville	Homestead High	Public school	25.91	303
Waukesha	Waukesha	Waukesha Academy of Health Professions	Public school	25.83	6
Milwaukee	Whitefish Bay	Whitefish Bay High	Public school	25.75	248
Waukesha	Elmbrook	East High	Public school	25.68	286
Ozaukee	Cedarburg	Cedarburg High	Public school	25.51	259
Ozaukee	Northern Ozaukee	Wisconsin Virtual Learning	Public school	25.33	15
Dane	Middleton-Cross Plains Area	Middleton High	Public school	25.31	409
Waukesha	Elmbrook	Central High	Public school	25.27	277
Waukesha	Arrowhead UHS	Arrowhead High	Public school	25.1	479
Dane	Waunakee Community	Waunakee High	Public school	25.08	198
Milwaukee	Shorewood	Shorewood High	Public school	24.91	137
Dane	McFarland	McFarland High	Public school	24.91	147
Marathon	Wausau	Wausau Engineering and Global Leadership Academy	Public school	24.86	7
Brown	De Pere	De Pere High	Public school	24.82	242
Wood	Marshfield Unified	Marshfield High	Public school	24.8	188
Waukesha	New Berlin	Eisenhower Middle/High	Public school	24.69	192
Dane	Madison Metropolitan	West High	Public school	24.68	422
Waukesha	Hamilton	Hamilton High	Public school	24.47	267
Waukesha	Pewaukee	Pewaukee High	Public school	24.46	152
Milwaukee	Greendale	Greendale High	Public school	24.45	194
Buffalo	Mondovi	Mondovi High	Public school	24.41	39
Saint Croix	Hudson	Hudson High	Public school	24.37	304
Dane	Mount Horeb Area	Mount Horeb High	Public school	24.35	152
Dane	Cambridge	Cambridge High	Public school	24.33	46
Marathon	Marathon City	Marathon High	Public school	24.3	40
Waukesha	Waukesha	Waukesha Engineering Preparatory Academy	Public school	24.22	9
Winnebago	Neenah Joint	Neenah High	Public school	24.21	312
Chippewa	Cadott Community	Cadott High	Public school	24.21	19
Kenosha	Kenosha	Lakeview Technology Academy	Public school	24.2	75
Ozaukee	Grafton	Grafton High	Public school	24.2	128
Pierce	Spring Valley	Spring Valley High	Public school	24.19	31
Brown	West De Pere	West De Pere High	Public school	24.19	133
Sheboygan	Kohler	Kohler High	Public school	24.15	40
Milwaukee	Wauwatosa	East High	Public school	24.14	200
Walworth	Williams Bay	Williams Bay High	Public school	24.13	31
Brown	Pulaski Community	Pulaski High	Public school	24.11	186
Outagamie	Appleton Area	North High	Public school	24.06	264
Milwaukee	Nicolet UHS	Nicolet High	Public school	24.05	237
Brown	Ashwaubenon	Ashwaubenon High	Public school	24.04	163
Buffalo	Cochrane-Fountain City	Cochrane-Fountain City High	Public school	24	33
Door	Sturgeon Bay	Sturgeon Bay High	Public school	23.98	55
Winnebago	Winneconne Community	Winneconne High	Public school	23.97	70
Waukesha	Kettle Moraine	School for Arts and Performance	Public school	23.95	19
Brown	Howard-Suamico	Bay Port High	Public school	23.91	303
Washington	Slinger	Slinger High	Public school	23.9	176
Eau Claire	Altoona	Altoona High	Public school	23.89	64
Dane	Belleville	Belleville High	Public school	23.86	37
Iowa	Dodgeville	Dodgeville High	Public school	23.84	57
Dane	Verona Area	Verona Area High	Public school	23.82	294
Sheboygan	Plymouth Joint	Plymouth High	Public school	23.8	127
Dane	Oregon	Oregon High	Public school	23.78	165
Waukesha	Kettle Moraine	Kettle Moraine High	Public school	23.78	265
Dane	Madison Metropolitan	Memorial High	Public school	23.76	393
Sauk	Sauk Prairie	Sauk Prairie High	Public school	23.73	126
Washington	Germantown	Germantown High	Public school	23.72	267
Marinette	Peshtigo	Peshtigo High	Public school	23.71	58
Ozaukee	Port Washington-Saukville	Port Washington High	Public school	23.68	143
Dunn	Elk Mound Area	Elk Mound High	Public school	23.67	51
Oconto	Oconto Falls Public	Oconto Falls High	Public school	23.65	68
Dane	Stoughton Area	Stoughton High	Public school	23.63	184
Milwaukee	Franklin Public	Franklin High	Public school	23.61	302
Marinette	Crivitz	Crivitz High	Public school	23.59	22
Fond du Lac	Ripon Area	Ripon High	Public school	23.57	86
Calumet	Brillion	Brillion High	Public school	23.56	41
Burnett	Grantsburg	Grantsburg High	Public school	23.53	36
Clark	Greenwood	Greenwood High	Public school	23.52	21
Grant	Platteville	Platteville High	Public school	23.51	79
Iowa	Highland	Highland Community High	Public school	23.5	8
Lafayette	Darlington Community	Darlington High	Public school	23.5	38
Marathon	Stratford	Stratford High	Public school	23.47	36
Racine	Waterford UHS	Waterford High	Public school	23.46	170
Walworth	Whitewater Unified	Whitewater High	Public school	23.46	72
Waukesha	Menomonee Falls	Menomonee Falls High	Public school	23.46	316
Waukesha	Mukwonago	Mukwonago High	Public school	23.44	297
Saint Croix	Glenwood City	Glenwood City High	Public school	23.43	23
Winnebago	Oshkosh Area	West High	Public school	23.42	272
Vilas	Northland Pines	Northland Pines High	Public school	23.42	59
Dodge	Beaver Dam Unified	Beaver Dam High	Public school	23.41	140
Manitowoc	Reedsville	Reedsville High	Public school	23.41	27
Eau Claire	Fall Creek	Fall Creek High	Public school	23.4	35
Washington	Hartford UHS	Hartford High	Public school	23.39	250
Kewaunee	Algoma	Algoma High	Public school	23.37	30
Clark	Thorp	Thorp High	Public school	23.35	26
Door	Sevastopol	Sevastopol High	Public school	23.33	18
